material_id,material_name,category,unit
1,Exterior Coating,Paint,ton
2,Interior Paint,Paint,sq_ft
3,Junction Box,Electrical,yd3
4,Steel Rebar,Steel,sq_ft
5,Conduit,Electrical,sq_ft
6,Steel Plate,Steel,ea
7,Drywall Sheet,Drywall,ton
8,Ball Valve,Plumbing,ton
9,Sheetrock,Drywall,yd3
10,Concrete,Concrete,ea
11,Cement Blend,Concrete,yd3
12,Gypsum Board,Drywall,linear_ft
13,PVC Plumbing Pipe,Plumbing,linear_ft
14,Concrete Mix,Concrete,yd3
15,Air Diffuser,HVAC,linear_ft
16,Latex Paint,Paint,linear_ft
17,Rebar Grade 60,Steel,yd3
18,Latex Paint,Paint,ea
19,Cement Blend,Concrete,sq_ft
20,Conduit,Electrical,sq_ft
21,Pipe Fittings,Plumbing,yd3
22,Ductwork,HVAC,sq_ft
23,Exterior Coating,Paint,linear_ft
24,Primer,Paint,linear_ft
25,Gypsum Board,Drywall,yd3
26,LED Fixture,Electrical,yd3
27,Gypsum Board,Drywall,ea
28,Gypsum Board,Drywall,yd3
29,Steel Plate,Steel,yd3
30,Pipe Fittings,Plumbing,linear_ft
31,Joint Compound,Drywall,sq_ft
32,Ball Valve,Plumbing,linear_ft
33,Ductwork,HVAC,ton
34,Sheetrock,Drywall,ea
35,Breaker Panel,Electrical,yd3
36,Structural Steel Beam,Steel,linear_ft
37,Conduit,Electrical,linear_ft
38,Paint Supplies,Paint,yd3
39,Ductwork,HVAC,ton
40,Latex Paint,Paint,linear_ft
41,Concrete Mix,Concrete,ea
42,Exterior Coating,Paint,linear_ft
43,Steel Plate,Steel,ton
44,I Beam Steel,Steel,ton
45,Concrete,Concrete,linear_ft
46,Drywall Screws,Drywall,yd3
47,Exterior Coating,Paint,sq_ft
48,Paint Supplies,Paint,ton
49,Junction Box,Electrical,ea
50,Drywall Screws,Drywall,linear_ft
51,Air Diffuser,HVAC,yd3
52,Conduit,Electrical,linear_ft
53,Latex Paint,Paint,sq_ft
54,Primer,Paint,linear_ft
55,Portland Cement,Concrete,linear_ft
56,Concrete,Concrete,linear_ft
57,Rebar Grade 60,Steel,ea
58,Exterior Coating,Paint,linear_ft
59,Structural Steel Beam,Steel,linear_ft
60,Primer,Paint,sq_ft
61,Exterior Coating,Paint,linear_ft
62,Interior Paint,Paint,yd3
63,Concrete,Concrete,linear_ft
64,Plumbing Fixture,Plumbing,yd3
65,Concrete,Concrete,sq_ft
66,Sheetrock,Drywall,linear_ft
67,Concrete Mix,Concrete,sq_ft
68,Electrical Wire,Electrical,ea
69,Ductwork,HVAC,ton
70,Electrical Wire,Electrical,sq_ft
