quote_id,rfq_id,supplier_id,supplier_name,region,reliability_score,material_name,category,quantity,unit,unit_price,currency,lead_time_days
Q-RFQ-1001-buildtech-1,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Paint Supplies,Paint,150,ton,28.82,USD,14
Q-RFQ-1001-buildtech-2,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Interior Paint,Paint,371,sq_ft,38.1,USD,12
Q-RFQ-1001-buildtech-3,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Breaker Panel,Electrical,41,yd3,56.61,USD,13
Q-RFQ-1001-buildtech-4,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Steel Rebar,Steel,283,sq_ft,787.33,USD,14
Q-RFQ-1001-buildtech-5,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Conduit,Electrical,391,sq_ft,47.24,USD,28
Q-RFQ-1001-buildtech-6,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Rebar Grade 60,Steel,326,ea,846.84,USD,29
Q-RFQ-1001-buildtech-7,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Sheetrock,Drywall,413,ton,16.19,USD,35
Q-RFQ-1001-buildtech-8,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Pipe Fittings,Plumbing,167,ton,88.0,USD,18
Q-RFQ-1001-buildtech-9,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Gypsum Board,Drywall,77,yd3,19.09,USD,21
Q-RFQ-1001-buildtech-10,RFQ-1001,buildtech,BuildTech Supply,Midwest,94,Cement Blend,Concrete,458,ea,165.5,USD,24
Q-RFQ-1001-constructpro-1,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,Interior Paint,Paint,150,ton,39.56,USD,9
Q-RFQ-1001-constructpro-2,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,Paint Supplies,Paint,371,sq_ft,39.14,USD,8
Q-RFQ-1001-constructpro-3,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,LED Fixture,Electrical,41,yd3,65.27,USD,18
Q-RFQ-1001-constructpro-4,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,Steel Plate,Steel,283,sq_ft,879.41,USD,8
Q-RFQ-1001-constructpro-5,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,Conduit,Electrical,391,sq_ft,60.37,USD,19
Q-RFQ-1001-constructpro-6,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,I Beam Steel,Steel,326,ea,1040.84,USD,31
Q-RFQ-1001-constructpro-7,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,Drywall Screws,Drywall,413,ton,18.49,USD,30
Q-RFQ-1001-constructpro-8,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,PVC Plumbing Pipe,Plumbing,167,ton,103.23,USD,16
Q-RFQ-1001-constructpro-9,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,Drywall Sheet,Drywall,77,yd3,20.43,USD,16
Q-RFQ-1001-constructpro-10,RFQ-1001,constructpro,ConstructPro Materials,Northeast,88,Portland Cement,Concrete,458,ea,166.3,USD,30
Q-RFQ-1001-urban-1,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Paint Supplies,Paint,150,ton,31.72,USD,14
Q-RFQ-1001-urban-2,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Interior Paint,Paint,371,sq_ft,33.5,USD,14
Q-RFQ-1001-urban-3,RFQ-1001,urban,UrbanBuild Wholesale,West,82,LED Fixture,Electrical,41,yd3,56.33,USD,16
Q-RFQ-1001-urban-4,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Structural Steel Beam,Steel,283,sq_ft,930.9,USD,6
Q-RFQ-1001-urban-5,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Breaker Panel,Electrical,391,sq_ft,52.52,USD,23
Q-RFQ-1001-urban-6,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Structural Steel Beam,Steel,326,ea,893.63,USD,40
Q-RFQ-1001-urban-7,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Drywall Screws,Drywall,413,ton,19.31,USD,33
Q-RFQ-1001-urban-8,RFQ-1001,urban,UrbanBuild Wholesale,West,82,PVC Plumbing Pipe,Plumbing,167,ton,79.11,USD,16
Q-RFQ-1001-urban-9,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Drywall Sheet,Drywall,77,yd3,19.75,USD,23
Q-RFQ-1001-urban-10,RFQ-1001,urban,UrbanBuild Wholesale,West,82,Concrete,Concrete,458,ea,119.32,USD,35
Q-RFQ-1001-apex-1,RFQ-1001,apex,Apex Industrial Supply,South,90,Primer,Paint,150,ton,38.02,USD,6
Q-RFQ-1001-apex-2,RFQ-1001,apex,Apex Industrial Supply,South,90,Interior Paint,Paint,371,sq_ft,35.41,USD,5
Q-RFQ-1001-apex-3,RFQ-1001,apex,Apex Industrial Supply,South,90,LED Fixture,Electrical,41,yd3,61.66,USD,16
Q-RFQ-1001-apex-4,RFQ-1001,apex,Apex Industrial Supply,South,90,I Beam Steel,Steel,283,sq_ft,985.43,USD,4
Q-RFQ-1001-apex-5,RFQ-1001,apex,Apex Industrial Supply,South,90,Junction Box,Electrical,391,sq_ft,62.65,USD,18
