rfq_id,line_number,material_name,category,quantity,unit,required_delivery_days
RFQ-1001,1,Exterior Coating,Paint,150,ton,11
RFQ-1001,2,Interior Paint,Paint,371,sq_ft,9
RFQ-1001,3,Junction Box,Electrical,41,yd3,9
RFQ-1001,4,Steel Rebar,Steel,283,sq_ft,7
RFQ-1001,5,Conduit,Electrical,391,sq_ft,20
RFQ-1001,6,Steel Plate,Steel,326,ea,32
RFQ-1001,7,Drywall Sheet,Drywall,413,ton,29
RFQ-1001,8,Ball Valve,Plumbing,167,ton,13
RFQ-1001,9,Sheetrock,Drywall,77,yd3,19
RFQ-1001,10,Concrete,Concrete,458,ea,26
RFQ-1002,1,Cement Blend,Concrete,453,yd3,9
RFQ-1002,2,Gypsum Board,Drywall,110,linear_ft,22
RFQ-1002,3,PVC Plumbing Pipe,Plumbing,467,linear_ft,35
RFQ-1002,4,Concrete Mix,Concrete,219,yd3,19
RFQ-1002,5,Air Diffuser,HVAC,171,linear_ft,29
RFQ-1002,6,Latex Paint,Paint,363,linear_ft,11
RFQ-1002,7,Rebar Grade 60,Steel,136,yd3,25
RFQ-1002,8,Latex Paint,Paint,56,ea,8
RFQ-1002,9,Cement Blend,Concrete,269,sq_ft,34
RFQ-1002,10,Conduit,Electrical,54,sq_ft,9
RFQ-1003,1,Pipe Fittings,Plumbing,451,yd3,16
RFQ-1003,2,Ductwork,HVAC,245,sq_ft,26
RFQ-1003,3,Exterior Coating,Paint,263,linear_ft,21
RFQ-1003,4,Primer,Paint,286,linear_ft,32
RFQ-1003,5,Gypsum Board,Drywall,362,yd3,16
RFQ-1003,6,LED Fixture,Electrical,196,yd3,33
RFQ-1003,7,Gypsum Board,Drywall,369,ea,14
RFQ-1003,8,Gypsum Board,Drywall,100,yd3,8
RFQ-1003,9,Steel Plate,Steel,337,yd3,21
RFQ-1003,10,Pipe Fittings,Plumbing,124,linear_ft,22
RFQ-1004,1,Joint Compound,Drywall,316,sq_ft,28
RFQ-1004,2,Ball Valve,Plumbing,39,linear_ft,34
RFQ-1004,3,Ductwork,HVAC,274,ton,18
RFQ-1004,4,Sheetrock,Drywall,199,ea,35
RFQ-1004,5,Breaker Panel,Electrical,309,yd3,23
RFQ-1004,6,Structural Steel Beam,Steel,148,linear_ft,22
RFQ-1004,7,Conduit,Electrical,378,linear_ft,27
