rfq_id,project_name,budget
RFQ-1001,School Renovation,802451
RFQ-1002,Housing Upgrade,955329
RFQ-1003,Housing Upgrade,1381137
RFQ-1004,Municipal Center,1261418
RFQ-1005,School Renovation,1717726
RFQ-1006,School Renovation,828039
RFQ-1007,Housing Upgrade,2497670
RFQ-1008,Library Expansion,1038567
RFQ-1009,Housing Upgrade,1131604
RFQ-1010,Municipal Center,2466261
RFQ-1011,Library Expansion,891119
RFQ-1012,School Renovation,1377629
RFQ-1013,Library Expansion,1181561
RFQ-1014,Clinic Retrofit,1520832
RFQ-1015,Housing Upgrade,880616
RFQ-1016,Housing Upgrade,1571247
RFQ-1017,Clinic Retrofit,2238074
RFQ-1018,Clinic Retrofit,2241305
RFQ-1019,Clinic Retrofit,976001
RFQ-1020,School Renovation,1566844
RFQ-1021,Municipal Center,2006943
RFQ-1022,Clinic Retrofit,945054
RFQ-1023,Housing Upgrade,2459975
RFQ-1024,School Renovation,2477304
RFQ-1025,School Renovation,790010
RFQ-1026,Municipal Center,1248867
RFQ-1027,Library Expansion,1109189
RFQ-1028,Clinic Retrofit,1632934
RFQ-1029,Municipal Center,973908
RFQ-1030,Municipal Center,1863842
RFQ-1031,Clinic Retrofit,775565
RFQ-1032,Clinic Retrofit,1546110
RFQ-1033,Municipal Center,1593686
RFQ-1034,Housing Upgrade,2107081
RFQ-1035,Housing Upgrade,926098
RFQ-1036,School Renovation,1180726
RFQ-1037,Library Expansion,1579207
RFQ-1038,Library Expansion,887071
RFQ-1039,Library Expansion,1389783
RFQ-1040,Housing Upgrade,2253179
RFQ-1041,Clinic Retrofit,2324019
RFQ-1042,Housing Upgrade,870044
RFQ-1043,Municipal Center,1774722
RFQ-1044,Municipal Center,2445226
RFQ-1045,Library Expansion,1154598
RFQ-1046,Clinic Retrofit,1480617
RFQ-1047,Library Expansion,2030074
RFQ-1048,Municipal Center,1615986
RFQ-1049,School Renovation,1010241
RFQ-1050,School Renovation,1939644
